2018-01-19 10:05:55,523 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | added listeners [org.eclipse.equinox.internal.event.mapper.EventRedeliverer@4bd2f0dc]
2018-01-19 10:05:55,523 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Filter null
2018-01-19 10:05:55,523 | DEBUG | main             | ListenerHookImpl                 | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | skipping empty filter
2018-01-19 10:05:55,523 | DEBUG | main             | event                            | 34 - org.eclipse.equinox.event - 1.3.100.v20140115-1647 | ServiceEvent REGISTERED - {org.osgi.service.event.EventAdmin}={component.name=org.eclipse.equinox.event, component.id=4, service.id=73, service.bundleid=34, service.scope=bundle} - org.eclipse.equinox.event
2018-01-19 10:05:55,524 | DEBUG | main             | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Received REGISTERED ServiceEvent: org.osgi.framework.ServiceEvent[source={org.osgi.service.event.EventAdmin}={component.name=org.eclipse.equinox.event, component.id=4, service.id=73, service.bundleid=34, service.scope=bundle}]
2018-01-19 10:05:55,524 | DEBUG | pool-2-thread-3  | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping service {org.osgi.service.event.EventAdmin}={component.name=org.eclipse.equinox.event, component.id=4, service.id=73, service.bundleid=34, service.scope=bundle}
2018-01-19 10:05:55,525 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | ServiceEvent REGISTERED
2018-01-19 10:05:55,530 | DEBUG | main             | scr                              | 31 - org.apache.felix.scr - 2.0.2 | ServiceEvent REGISTERED - {org.apache.felix.scr.impl.ScrGogoCommand}={service.vendor=The Apache Software Foundation, service.description=SCR Gogo Shell Support, osgi.command.function=[config,disable,enable,info,list], osgi.command.scope=scr, service.id=74, service.bundleid=31, service.scope=singleton} - org.apache.felix.scr
2018-01-19 10:05:55,530 | DEBUG | main             | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Received REGISTERED ServiceEvent: org.osgi.framework.ServiceEvent[source={org.apache.felix.scr.impl.ScrGogoCommand}={service.vendor=The Apache Software Foundation, service.description=SCR Gogo Shell Support, osgi.command.function=[config,disable,enable,info,list], osgi.command.scope=scr, service.id=74, service.bundleid=31, service.scope=singleton}]
2018-01-19 10:05:55,530 | DEBUG | pool-2-thread-4  | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping service {org.apache.felix.scr.impl.ScrGogoCommand}={service.vendor=The Apache Software Foundation, service.description=SCR Gogo Shell Support, osgi.command.function=[config,disable,enable,info,list], osgi.command.scope=scr, service.id=74, service.bundleid=31, service.scope=singleton}
2018-01-19 10:05:55,532 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | ServiceEvent REGISTERED
2018-01-19 10:05:55,533 | DEBUG | main             | scr                              | 31 - org.apache.felix.scr - 2.0.2 | ServiceEvent REGISTERED - {org.osgi.service.cm.ManagedService}={service.vendor=The Apache Software Foundation, service.pid=org.apache.felix.scr.ScrService, service.description=SCR Configurator, service.id=75, service.bundleid=31, service.scope=bundle} - org.apache.felix.scr
2018-01-19 10:05:55,533 | DEBUG | main             | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Received REGISTERED ServiceEvent: org.osgi.framework.ServiceEvent[source={org.osgi.service.cm.ManagedService}={service.vendor=The Apache Software Foundation, service.pid=org.apache.felix.scr.ScrService, service.description=SCR Configurator, service.id=75, service.bundleid=31, service.scope=bundle}]
2018-01-19 10:05:55,534 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | ServiceEvent REGISTERED
2018-01-19 10:05:55,534 | DEBUG | pool-2-thread-5  | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping service {org.osgi.service.cm.ManagedService}={service.vendor=The Apache Software Foundation, service.pid=org.apache.felix.scr.ScrService, service.description=SCR Configurator, service.id=75, service.bundleid=31, service.scope=bundle}
2018-01-19 10:05:55,534 | DEBUG | main             | scr                              | 31 - org.apache.felix.scr - 2.0.2 | BundleEvent STARTED - org.apache.felix.scr
2018-01-19 10:05:55,535 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | BundleEvent STARTED
2018-01-19 10:05:55,536 | DEBUG | main             | webconsole                       | 32 - org.apache.felix.webconsole - 4.2.16 | BundleEvent STARTING - org.apache.felix.webconsole
2018-01-19 10:05:55,545 | DEBUG | main             | webconsole                       | 32 - org.apache.felix.webconsole - 4.2.16 | ServiceEvent REGISTERED - {org.apache.felix.webconsole.ConfigurationPrinter}={service.id=76, service.bundleid=32, service.scope=singleton} - org.apache.felix.webconsole
2018-01-19 10:05:55,545 | DEBUG | main             | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Received REGISTERED ServiceEvent: org.osgi.framework.ServiceEvent[source={org.apache.felix.webconsole.ConfigurationPrinter}={service.id=76, service.bundleid=32, service.scope=singleton}]
2018-01-19 10:05:55,545 | DEBUG | pool-2-thread-2  | TopologyManagerExport            | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | Skipping service {org.apache.felix.webconsole.ConfigurationPrinter}={service.id=76, service.bundleid=32, service.scope=singleton}
2018-01-19 10:05:55,545 | INFO  | 8826337@5be1d0a4 | osgi                             | 0 - org.eclipse.osgi - 3.10.100.v20150529-1857 | ServiceEvent REGISTERED
2018-01-19 10:05:55,547 | DEBUG | main             | EndpointListenerManager          | 21 - org.ops4j.pax.logging.pax-logging-api - 1.10.1 | EndpointListener: extending scope by (&(objectClass=org.osgi.framework.hooks.resolver.ResolverHookFactory)(!(endpoint.framework.uuid=30c685f0-f7fc-0017-1259-a229718034f3)))
